Model Name,CV RMSE (Mean),CV RMSE (Std),Test RMSE,Test MAE,Test MedAE,Test R2,Grade Acc (%),Grade Macro-F1,Train Time (ms),Inference Time / 1k (ms),Model Size (KB)
HistGradientBoosting (LightGBM approx),0.6445,0.0179,0.6333,0.4745,0.3687,0.9453,76.5,0.7267,1883.58,2.98,363.27
MLP Neural Net (64-32),0.6627,0.0139,0.6964,0.5122,0.3839,0.9339,75.5,0.7211,2053.59,3.84,108.07
Random Forest (100 Trees),0.6963,0.0184,0.7111,0.5288,0.4027,0.931,72.1,0.6794,201.7,28.21,30494.59
Support Vector Regressor (RBF),0.751,0.0184,0.774,0.5465,0.401,0.9183,72.3,0.6811,322.56,155.37,385.62
Gradient Boosting (Exact),0.7772,0.0171,0.7982,0.6162,0.4882,0.9131,70.7,0.6634,534.43,1.37,134.92
Linear Regression (OLS),1.0278,0.0082,1.0295,0.8079,0.6561,0.8555,65.3,0.6062,5.2,1.55,1.58
Ridge Regression (L2),1.0278,0.0082,1.0295,0.8079,0.6564,0.8555,65.3,0.6062,3.87,1.94,1.51
ElasticNet (L1+L2),1.0589,0.0099,1.0544,0.8269,0.6894,0.8484,64.2,0.5937,3.17,0.65,1.59
